注文回数,銘柄コード,銘柄名,取引内容,株数,執行条件,注文会社
1,5020,ＪＸＴＧホールディングス,信用新規売り6ヶ月(制度信用),100,寄付成行,smbc
1,5020,ＪＸＴＧホールディングス,信用新規買い6ヶ月(制度信用),100,寄付成行,smbc
2,5020,ＪＸＴＧホールディングス,信用新規売り6ヶ月(制度信用),100,寄付成行,smbc
2,1605,国際石油開発帝石,信用新規売り3年(一般信用),100,寄付成行,smbc
2,3402,東　　レ,信用新規売り3年(一般信用),100,寄付成行,smbc
2,5020,ＪＸＴＧホールディングス,信用新規買い6ヶ月(制度信用),100,寄付成行,smbc
2,1605,国際石油開発帝石,信用新規買い6ヶ月(制度信用),100,寄付成行,smbc
2,3402,東　　レ,信用新規買い6ヶ月(制度信用),100,寄付成行,smbc
3,8306,三菱ＵＦＪフィナンシャル・グループ,信用新規売（制度信用/6ヶ月）,100,寄成,sbi
3,8306,三菱ＵＦＪフィナンシャル・グループ,信用新規買（制度信用/6ヶ月）,100,寄成,sbi
4,7201,日　産　自　動　車,信用新規売り3年(一般信用),100,寄付成行,smbc
4,7201,日　産　自　動　車,信用新規買い6ヶ月(制度信用),100,寄付成行,smbc
5,7201,日産自動車,信用新規売（無期）,100,寄付成行,monex
5,7201,日産自動車,信用新規買（半年）,100,寄付成行,monex
6,1605,国際石油開発帝石,信用新規売（半年）,100,寄付成行,monex
6,3402,東レ,信用新規売（半年）,100,寄付成行,monex
6,1605,国際石油開発帝石,信用新規買（半年）,100,寄付成行,monex
6,3402,東レ,信用新規買（半年）,100,寄付成行,monex
7,9989,サンドラッグ,信用新規売（半年）,100,寄付成行,monex
7,9989,サンドラッグ,信用新規買（半年）,100,寄付成行,monex
8,9989,サンドラッグ,信用新規売（短期）,100,寄付成行,monex
8,9989,サンドラッグ,信用新規買（半年）,100,寄付成行,monex
9,9989,サンドラッグ,信用新規売（短期）,100,寄付成行,monex
9,9989,サンドラッグ,信用新規買（半年）,100,寄付成行,monex
10,7746,岡本硝子（株）,信用新規売（半年）,100,寄付成行,matsui
10,2914,日本たばこ産業（株）,信用新規売（無期）,100,寄付成行,matsui
10,7746,岡本硝子（株）,信用新規買（半年）,100,寄付成行,matsui
10,2914,日本たばこ産業（株）,信用新規買（半年）,100,寄付成行,matsui
11,7746,岡本硝子（株）,信用新規売（半年）,100,寄付成行,matsui
11,2914,日本たばこ産業（株）,信用新規売（無期）,100,寄付成行,matsui
11,7746,岡本硝子（株）,信用新規買（半年）,100,寄付成行,matsui
11,2914,日本たばこ産業（株）,信用新規買（半年）,100,寄付成行,matsui
12,7746,岡本硝子,売建制度,100,寄付成行,rakuten
12,8411,みずほフィナンシャルＧ,売建制度,100,寄付成行,rakuten
12,7746,岡本硝子,買建制度,100,寄付成行,rakuten
12,8411,みずほフィナンシャルＧ,買建制度,100,寄付成行,rakuten
13,7746,岡本硝子,売建制度,100,寄付成行,rakuten
13,8411,みずほフィナンシャルＧ,売建制度,100,寄付成行,rakuten
13,5411,ＪＦＥホールディングス,売建一般,100,寄付成行,rakuten
13,7746,岡本硝子,買建制度,100,寄付成行,rakuten
13,8411,みずほフィナンシャルＧ,買建制度,100,寄付成行,rakuten
13,5411,ＪＦＥホールディングス,買建制度,100,寄付成行,rakuten
14,7746,岡本硝子,売建制度,100,寄付成行,rakuten
14,8411,みずほフィナンシャルＧ,売建制度,100,寄付成行,rakuten
14,5411,ＪＦＥホールディングス,売建一般,100,寄付成行,rakuten
14,7746,岡本硝子,買建制度,100,寄付成行,rakuten
14,8411,みずほフィナンシャルＧ,買建制度,100,寄付成行,rakuten
14,5411,ＪＦＥホールディングス,買建制度,100,寄付成行,rakuten
15,7746,岡本硝子,売り（制度信用）,100,寄付成行(前場から),kabucom
15,8411,みずほフィナンシャルグループ,売り（制度信用）,100,寄付成行(前場から),kabucom
15,5411,ジェイ,売り（一般信用(長期)）,100,寄付成行(前場から),kabucom
15,7746,岡本硝子,買い（制度信用）,100,寄付成行(前場から),kabucom
15,8411,みずほフィナンシャルグループ,買い（制度信用）,100,寄付成行(前場から),kabucom
15,5411,ジェイ,買い（制度信用）,100,寄付成行(前場から),kabucom
16,5411,ジェイエフイーホールディングス,売り（一般信用(長期)）,100,寄付成行(前場から),kabucom
16,5411,ジェイエフイーホールディングス,買い（制度信用）,100,寄付成行(前場から),kabucom
