number,value,datetime_start,datetime_complete,duration,params_D,params_P,params_Q,params_d,params_enforce_invertibility,params_enforce_stationarity,params_p,params_q,params_s,params_trend,state
48,504.32882423966333,2020-05-28 21:53:20.155365,2020-05-28 21:53:26.435364,0 days 00:00:06.279999000,2,2,1,2,False,False,4,1,12,ct,COMPLETE
46,511.41350567997097,2020-05-28 21:53:09.514364,2020-05-28 21:53:14.835363,0 days 00:00:05.320999000,2,2,1,2,False,False,4,0,12,ct,COMPLETE
44,516.2500369936539,2020-05-28 21:53:01.907364,2020-05-28 21:53:06.029364,0 days 00:00:04.122000000,2,2,1,1,False,False,4,0,12,ct,COMPLETE
36,519.5880491777077,2020-05-28 21:52:38.584600,2020-05-28 21:52:42.389600,0 days 00:00:03.805000000,2,2,1,1,False,False,3,0,12,t,COMPLETE
43,521.2821543844915,2020-05-28 21:52:58.070365,2020-05-28 21:53:01.904363,0 days 00:00:03.833998000,2,2,1,1,False,False,3,0,12,ct,COMPLETE
42,521.2821543844915,2020-05-28 21:52:54.153365,2020-05-28 21:52:58.067365,0 days 00:00:03.914000000,2,2,1,1,False,False,3,0,12,ct,COMPLETE
41,521.2821543844915,2020-05-28 21:52:50.422365,2020-05-28 21:52:54.149364,0 days 00:00:03.726999000,2,2,1,1,False,False,3,0,12,ct,COMPLETE
45,524.702614901651,2020-05-28 21:53:06.033364,2020-05-28 21:53:09.511364,0 days 00:00:03.478000000,2,2,1,0,False,False,4,0,12,ct,COMPLETE
23,526.8472874008563,2020-05-28 21:52:09.938600,2020-05-28 21:52:12.841600,0 days 00:00:02.903000000,2,2,1,1,False,False,2,0,12,,COMPLETE
22,526.8472874008563,2020-05-28 21:52:07.263600,2020-05-28 21:52:09.935598,0 days 00:00:02.671998000,2,2,1,1,False,False,2,0,12,,COMPLETE
13,526.8472874008563,2020-05-28 21:51:44.881602,2020-05-28 21:51:48.153600,0 days 00:00:03.271998000,2,2,1,1,False,False,2,0,12,,COMPLETE
33,526.8472874008563,2020-05-28 21:52:31.155600,2020-05-28 21:52:34.112598,0 days 00:00:02.956998000,2,2,1,1,False,False,2,0,12,,COMPLETE
32,526.8472874008563,2020-05-28 21:52:28.281600,2020-05-28 21:52:31.152599,0 days 00:00:02.870999000,2,2,1,1,False,False,2,0,12,,COMPLETE
