"日付","始値","高値","安値","終値","前日比","出来高","売買代金","貸株残高","融資残高","貸借倍率","逆日歩","特別空売り料","5DMA","25DMA","75DMA","100DMA","200DMA","5DVMA","25DVMA","75DVMA"
"2020/06/26","1,387.5","1,392.5","1,380.5","1,392.0","+9.5","5,843,200","8,111,847","184,600","200,500","1.09","-","-","1,390.90","1,370.10","1,395.83","1,417.88","1,451.90","7,308,960","12,077,064","12,091,157"
"2020/06/25","1,386.0","1,391.5","1,374.5","1,382.5","-13.5","8,500,900","11,745,172","179,700","224,200","1.25","-","-","1,388.10","1,367.18","1,396.79","1,418.81","1,452.41","8,283,380","13,948,040","12,191,598"
"2020/06/24","1,404.0","1,407.0","1,388.0","1,396.0","-7.0","6,077,800","8,487,848","27,100","215,600","7.96","-","-","1,384.20","1,366.88","1,398.23","1,419.73","1,453.03","8,270,780","13,795,888","12,221,470"
"2020/06/23","1,387.0","1,408.0","1,381.5","1,403.0","+22.0","10,168,100","14,203,058","48,200","254,500","5.28","-","-","1,380.70","1,366.48","1,399.23","1,420.56","1,453.57","8,498,280","13,886,440","12,318,810"
"2020/06/22","1,376.5","1,388.5","1,374.5","1,381.0","+3.0","5,954,800","8,225,988","6,800","278,300","40.93","-","-","1,374.20","1,366.48","1,399.57","1,421.36","1,454.14","8,459,880","13,958,580","12,326,382"
"2020/06/19","1,367.0","1,378.5","1,364.0","1,378.0","+15.0","10,715,300","14,715,011","18,400","270,500","14.70","-","-","1,367.20","1,367.54","1,400.23","1,422.29","1,454.83","8,879,160","13,927,148","12,443,782"
"2020/06/18","1,375.5","1,381.5","1,359.0","1,363.0","-15.5","8,437,900","11,521,162","1,000","454,700","454.70","-","-","1,365.40","1,369.30","1,400.69","1,423.29","1,455.47","9,187,020","13,682,964","12,610,134"
"2020/06/17","1,370.0","1,381.5","1,367.0","1,378.5","+8.0","7,215,300","9,928,143","7,700","536,900","69.73","-","-","1,367.70","1,371.98","1,401.85","1,424.31","1,456.18","9,782,160","13,625,944","12,669,016"
"2020/06/16","1,361.5","1,375.5","1,355.0","1,370.5","+24.5","9,976,100","13,644,546","5,700","414,600","72.74","-","-","1,366.80","1,374.10","1,403.11","1,425.21","1,456.79","9,811,500","13,672,412","12,710,202"
"2020/06/15","1,365.0","1,370.5","1,345.5","1,346.0","-23.0","8,051,200","10,928,399","0","459,100","0.00","-","-","1,367.30","1,377.48","1,404.57","1,426.20","1,457.44","9,633,920","13,560,428","12,757,636"
"2020/06/12","1,365.0","1,369.0","1,353.0","1,369.0","-5.5","12,254,600","16,693,357","0","493,700","0.00","-","-","1,371.50","1,382.44","1,406.66","1,427.44","1,458.19","9,701,780","13,562,520","12,788,608"
"2020/06/11","1,387.0","1,388.5","1,371.5","1,374.5","+0.5","11,413,600","15,749,988","4,400","422,700","96.07","-","-","1,371.30","1,385.90","1,408.20","1,428.52","1,458.83","8,827,760","13,305,916","12,716,998"
"2020/06/10","1,375.0","1,376.0","1,368.0","1,374.0","+1.0","7,362,000","10,113,279","0","433,800","0.00","-","-","1,371.40","1,389.10","1,409.81","1,429.63","1,459.45","8,860,460","13,090,652","12,638,581"
"2020/06/09","1,369.0","1,375.0","1,365.5","1,373.0","+6.0","9,088,200","12,452,565","0","445,700","0.00","-","-","1,370.10","1,391.80","1,411.45","1,430.66","1,460.06","9,884,300","13,121,884","12,609,468"
"2020/06/08","1,372.0","1,374.0","1,364.0","1,367.0","-1.0","8,390,500","11,472,273","0","451,100","0.00","-","-","1,368.40","1,395.44","1,413.17","1,431.61","1,460.65","10,002,260","13,352,300","12,566,578"
"2020/06/05","1,370.0","1,371.5","1,362.0","1,368.0","-7.0","7,884,500","10,775,053","0","552,600","0.00","-","-","1,368.20","1,399.08","1,415.11","1,432.42","1,461.20","10,000,180","13,403,928","12,537,310"
"2020/06/04","1,372.5","1,377.0","1,366.5","1,375.0","+7.5","11,577,100","15,891,462","22,000","578,500","26.30","-","-","1,367.80","1,401.52","1,416.99","1,433.33","1,461.75","16,595,780","13,352,216","12,572,344"
"2020/06/03","1,379.0","1,379.0","1,364.0","1,367.5","+3.0","12,481,200","17,098,283","42,000","636,800","15.16","-","-","1,365.60","1,403.32","1,418.72","1,434.06","1,462.17","17,230,040","13,209,524","12,583,640"
"2020/06/02","1,370.0","1,370.5","1,360.5","1,364.5","-1.5","9,678,000","13,204,423","47,400","673,700","14.21","-","-","1,363.10","1,404.78","1,420.32","1,434.98","1,462.66","18,791,860","12,944,020","12,580,470"
"2020/06/01","1,363.5","1,366.5","1,356.0","1,366.0","0.0","8,380,100","11,426,065","56,400","667,700","11.84","-","-","1,358.20","1,406.12","1,422.34","1,435.88","1,463.21","22,525,440","12,802,164","12,622,669"
