日付,始値,高値,安値,終値,出来高,終値調整
1994-10-27,1190000.0,1200000.0,1100000.0,1100000.0,40460,1100.0
1994-10-28,1060000.0,1100000.0,1050000.0,1060000.0,18334,1060.0
1994-10-31,1080000.0,1090000.0,1060000.0,1080000.0,5202,1080.0
1994-11-01,1090000.0,1110000.0,1080000.0,1110000.0,4821,1110.0
1994-11-02,1100000.0,1110000.0,1070000.0,1080000.0,4250,1080.0
1994-11-04,1090000.0,1100000.0,1070000.0,1090000.0,1387,1090.0
1994-11-07,1070000.0,1080000.0,1050000.0,1050000.0,2357,1050.0
1994-11-08,1050000.0,1050000.0,1010000.0,1010000.0,4718,1010.0
1994-11-09,1000000.0,1010000.0,991000.0,994000.0,6664,994.0
1994-11-10,993000.0,995000.0,960000.0,967000.0,6825,967.0
1994-11-11,957000.0,970000.0,956000.0,962000.0,4725,962.0
1994-11-14,960000.0,963000.0,958000.0,961000.0,2213,961.0
1994-11-15,964000.0,998000.0,964000.0,991000.0,3295,991.0
1994-11-16,991000.0,998000.0,980000.0,996000.0,1748,996.0
1994-11-17,992000.0,1010000.0,992000.0,1010000.0,1606,1010.0
1994-11-18,1000000.0,1010000.0,995000.0,1000000.0,1251,1000.0
1994-11-21,999000.0,1010000.0,990000.0,990000.0,628,990.0
1994-11-22,980000.0,987000.0,973000.0,983000.0,1239,983.0
1994-11-24,966000.0,974000.0,964000.0,965000.0,1939,965.0
1994-11-25,967000.0,969000.0,959000.0,960000.0,2269,960.0
1994-11-28,960000.0,962000.0,959000.0,961000.0,1087,961.0
1994-11-29,965000.0,972000.0,962000.0,964000.0,1912,964.0
1994-11-30,964000.0,972000.0,963000.0,963000.0,1460,963.0
1994-12-01,965000.0,965000.0,960000.0,960000.0,1191,960.0
1994-12-02,960000.0,962000.0,955000.0,955000.0,1384,955.0
1994-12-05,958000.0,965000.0,958000.0,960000.0,881,960.0
1994-12-06,960000.0,962000.0,955000.0,955000.0,698,955.0
1994-12-07,955000.0,956000.0,953000.0,956000.0,1318,956.0
1994-12-08,954000.0,955000.0,950000.0,950000.0,1418,950.0
1994-12-09,950000.0,953000.0,940000.0,940000.0,2026,940.0
1994-12-12,938000.0,940000.0,920000.0,920000.0,2418,920.0
1994-12-13,920000.0,920000.0,901000.0,906000.0,2343,906.0
1994-12-14,908000.0,914000.0,907000.0,907000.0,1222,907.0
1994-12-15,914000.0,915000.0,909000.0,914000.0,764,914.0
1994-12-16,912000.0,914000.0,907000.0,908000.0,1114,908.0
1994-12-19,907000.0,914000.0,907000.0,910000.0,676,910.0
1994-12-20,912000.0,925000.0,910000.0,924000.0,1329,924.0
1994-12-21,923000.0,943000.0,923000.0,936000.0,1699,936.0
1994-12-22,956000.0,980000.0,951000.0,974000.0,2448,974.0
1994-12-26,978000.0,992000.0,978000.0,990000.0,1949,990.0
1994-12-27,989000.0,990000.0,980000.0,982000.0,2271,982.0
1994-12-28,975000.0,979000.0,969000.0,969000.0,430,969.0
1994-12-29,979000.0,979000.0,966000.0,975000.0,788,975.0
1994-12-30,977000.0,992000.0,977000.0,986000.0,1223,986.0
1995-01-04,987000.0,987000.0,972000.0,975000.0,271,975.0
1995-01-05,985000.0,985000.0,975000.0,976000.0,697,976.0
1995-01-06,971000.0,975000.0,966000.0,966000.0,372,966.0
1995-01-09,966000.0,974000.0,966000.0,969000.0,621,969.0
1995-01-10,970000.0,976000.0,969000.0,969000.0,1196,969.0
1995-01-11,969000.0,972000.0,964000.0,969000.0,737,969.0
1995-01-12,969000.0,969000.0,954000.0,954000.0,729,954.0
1995-01-13,954000.0,955000.0,949000.0,952000.0,747,952.0
1995-01-17,942000.0,949000.0,942000.0,947000.0,396,947.0
1995-01-18,943000.0,943000.0,930000.0,937000.0,1006,937.0
1995-01-19,927000.0,928000.0,910000.0,911000.0,1154,911.0
1995-01-20,906000.0,912000.0,905000.0,909000.0,778,909.0
1995-01-23,904000.0,905000.0,891000.0,891000.0,2074,891.0
1995-01-24,891000.0,904000.0,891000.0,900000.0,1935,900.0
1995-01-25,902000.0,907000.0,897000.0,897000.0,1479,897.0
1995-01-26,896000.0,899000.0,891000.0,891000.0,1219,891.0
1995-01-27,901000.0,901000.0,891000.0,891000.0,1266,891.0
1995-01-30,892000.0,895000.0,890000.0,890000.0,1893,890.0
1995-01-31,890000.0,900000.0,890000.0,900000.0,2513,900.0
1995-02-01,889000.0,890000.0,883000.0,889000.0,1647,889.0
1995-02-02,885000.0,889000.0,881000.0,882000.0,850,882.0
1995-02-03,880000.0,885000.0,880000.0,883000.0,770,883.0
1995-02-06,884000.0,890000.0,884000.0,890000.0,599,890.0
1995-02-07,891000.0,899000.0,891000.0,892000.0,651,892.0
1995-02-08,890000.0,892000.0,887000.0,890000.0,688,890.0
1995-02-09,888000.0,890000.0,885000.0,889000.0,610,889.0
1995-02-10,887000.0,888000.0,887000.0,888000.0,506,888.0
1995-02-13,888000.0,890000.0,888000.0,890000.0,482,890.0
1995-02-14,888000.0,890000.0,886000.0,887000.0,598,887.0
1995-02-15,885000.0,886000.0,880000.0,880000.0,1010,880.0
1995-02-16,879000.0,880000.0,871000.0,871000.0,1083,871.0
1995-02-17,869000.0,879000.0,867000.0,871000.0,851,871.0
1995-02-20,871000.0,873000.0,867000.0,867000.0,699,867.0
1995-02-21,865000.0,866000.0,862000.0,864000.0,1197,864.0
1995-02-22,862000.0,862000.0,856000.0,856000.0,1276,856.0
1995-02-23,849000.0,850000.0,809000.0,816000.0,1370,816.0
1995-02-24,811000.0,819000.0,810000.0,810000.0,1186,810.0
1995-02-27,780000.0,790000.0,766000.0,775000.0,1493,775.0
1995-02-28,815000.0,815000.0,800000.0,804000.0,1007,804.0
1995-03-01,800000.0,809000.0,800000.0,809000.0,632,809.0
