Date,Open,High,Low,Close,Volume,5MA,30MA,90MA,golden_cross_5MA_30MA,golden_cross_5MA_90MA,golden_cross_30MA_90MA
2018-01-04,40597.55,41686.71,40308.39,41648.14,3027117,41648.14,41648.14,41648.14,,,
2018-01-05,42024.05,42043.32,40963.8,41069.83,2587424,41358.985,41358.985,41358.985,,,
2018-01-09,41445.73,41898.74,41156.58,41580.67,2305432,41432.88,41432.88,41432.88,,,
2018-01-10,41821.64,42698.75,41445.73,42631.28,2538351,41732.479999999996,41732.479999999996,41732.479999999996,,,
2018-01-11,42274.65,42544.53,42120.43,42525.25,1611862,41891.034,41891.034,41891.034,,,
2018-01-12,42804.77,43431.28,42718.02,43007.18,2428376,42162.84199999999,42077.05833333333,42077.05833333333,42077.05833333333,42077.05833333333,
2018-01-15,43363.81,43691.52,43036.1,43238.5,2006113,42596.57599999999,42242.97857142857,42242.97857142857,,,
2018-01-16,43277.06,43585.48,42698.75,43479.47,1943343,42976.33599999999,42397.53999999999,42397.53999999999,,,
2018-01-17,42987.9,43758.98,42968.63,43652.96,2014620,43180.671999999984,42537.03111111111,42537.03111111111,,,
2018-01-18,44587.9,45108.39,44144.53,44684.28,4720423,43612.47799999999,42751.755999999994,42751.755999999994,,,
2018-01-19,45330.06,46631.27,45320.42,46573.44,5289181,44325.729999999996,43099.181818181816,43099.181818181816,,,
2018-01-22,46409.58,47421.63,46371.03,46698.74,3980789,45017.77799999999,43399.145,43399.145,,,
2018-01-23,46650.55,47971.03,46477.05,47797.54,4044076,45881.391999999985,43737.48307692307,43737.48307692307,,,
2018-01-24,47807.17,48173.43,46216.82,46881.87,4103109,46527.17399999999,43962.082142857136,43962.082142857136,,,
2018-01-25,45956.57,46689.1,45532.47,46043.33,3250595,46798.98399999999,44100.83199999999,44100.83199999999,,,
2018-01-26,46621.63,46785.5,46178.26,46486.69,2170452,46781.634,44249.948124999995,44249.948124999995,,,
2018-01-29,46708.38,46843.33,46033.69,46168.62,1763440,46675.61,44362.81117647058,44362.81117647058,,,
2018-01-30,46072.23,46072.23,45310.79,45310.79,2107061,46178.259999999995,44415.47666666666,44415.47666666666,,,
2018-01-31,44915.61,46814.4,44886.7,46236.09,3271760,46049.10399999999,44511.29842105263,44511.29842105263,,,
2018-02-01,47999.94,47999.94,45542.11,46477.05,6606186,46135.84799999998,44609.585999999996,44609.585999999996,,,
2018-02-02,46689.1,46987.9,45252.96,45465.01,3452492,45931.51199999999,44650.32047619048,44650.32047619048,,,
2018-02-05,44462.59,45465.01,44395.12,45214.4,2571861,45740.66799999999,44675.96045454546,44675.96045454546,,,
2018-02-06,43190.31,44067.42,41561.4,42862.6,5537973,45251.029999999984,44597.11869565217,44597.11869565217,,,
2018-02-07,44337.29,44954.17,43277.06,43286.7,3813854,44661.15199999999,44542.517916666664,44542.517916666664,,,
2018-02-08,43373.45,43469.82,42120.43,42718.02,3531447,43909.34599999998,44469.538,44469.538,,,
2018-02-09,40877.07,41792.72,40674.65,41763.81,3486626,43169.105999999985,44365.47153846154,44365.47153846154,,,
2018-02-13,42602.36,43672.24,42419.23,42795.13,3515572,42685.251999999986,44307.31074074074,44307.31074074074,,,
2018-02-14,42968.63,43518.02,42284.29,42708.38,3100572,42654.40799999998,44250.20607142856,44250.20607142856,,,
2018-02-15,43383.08,44250.55,43296.33,44183.08,3221545,42833.68399999999,44247.89137931034,44247.89137931034,,,
2018-02-16,44501.15,44578.26,43903.57,44183.08,2253660,43126.69599999999,44245.731,44245.731,,,
2018-02-19,44375.86,45098.74,44240.92,45098.74,1929545,43793.681999999986,44360.751000000004,44273.24741935483,,,44273.24741935483
2018-02-20,44905.97,45638.51,44790.3,45262.59,2383244,44287.173999999985,44500.509666666665,44304.164375,,,
2018-02-21,45407.18,46207.18,45012.0,46043.33,3174546,44954.16399999999,44649.26500000001,44356.86636363636,44649.26500000001,44356.86636363636,
2018-02-22,45879.46,46332.48,45175.86,45474.64,2739107,45212.47599999999,44744.04366666667,44389.742058823525,,,
2018-02-23,45831.27,46669.83,45802.36,46612.0,3052847,45698.25999999999,44880.26866666667,44453.23514285714,,,
2018-02-26,47180.67,47681.87,46756.57,47007.17,2830719,46079.94599999998,45013.60166666667,44524.177777777775,,,
2018-02-27,47614.4,47980.67,47238.5,47643.32,3329964,46556.09199999999,45160.429000000004,44608.47891891892,,,
2018-02-28,47460.19,47701.15,47055.37,47305.97,2812043,46808.61999999998,45287.97900000001,44679.46552631579,,,
2018-03-01,46746.93,46901.16,46332.48,46448.14,2446221,47003.319999999985,45381.151666666665,44724.81615384615,,,
2018-03-02,45397.54,47016.82,45378.26,46843.33,3237626,47049.58599999999,45453.12,44777.778999999995,,,
2018-03-05,46612.0,46679.46,44289.1,44452.95,3728053,46538.74199999999,45382.437000000005,44769.85634146341,,,
2018-03-06,45571.04,46438.51,45474.64,45802.36,3339821,46170.54999999999,45352.557666666675,44794.43976190476,,,
2018-03-07,45349.35,45445.73,44375.86,44433.69,3347705,45596.09399999999,45240.42933333334,44786.05023255814,,,
2018-03-08,45339.71,46236.09,45127.66,46236.09,2915482,45553.68399999999,45218.903333333335,44819.005681818184,,,
