日付,始値,高値,安値,終値,出来高,終値調整
1983-01-04,526.0,540.0,526.0,540.0,20000,514.3
1983-01-05,530.0,531.0,527.0,531.0,23000,505.7
1983-01-06,540.0,540.0,527.0,535.0,72000,509.5
1983-01-07,532.0,533.0,528.0,528.0,81000,502.9
1983-01-08,532.0,539.0,527.0,529.0,41000,503.8
1983-01-10,527.0,534.0,527.0,528.0,74000,502.9
1983-01-11,527.0,532.0,527.0,527.0,58000,501.9
1983-01-12,528.0,528.0,525.0,526.0,197000,501.0
1983-01-13,527.0,530.0,527.0,528.0,59000,502.9
1983-01-14,528.0,532.0,527.0,528.0,230000,502.9
1983-01-17,528.0,540.0,528.0,534.0,89000,508.6
1983-01-18,528.0,535.0,528.0,529.0,41000,503.8
1983-01-19,528.0,529.0,528.0,528.0,43000,502.9
1983-01-20,526.0,526.0,520.0,524.0,140000,499.1
1983-01-21,520.0,525.0,520.0,521.0,70000,496.2
1983-01-22,520.0,520.0,517.0,517.0,67000,492.4
1983-01-24,515.0,516.0,513.0,513.0,279000,488.6
1983-01-25,513.0,513.0,510.0,513.0,170000,488.6
1983-01-26,512.0,520.0,512.0,516.0,91000,491.4
1983-01-27,512.0,519.0,512.0,519.0,78000,494.3
1983-01-28,514.0,518.0,514.0,514.0,285000,489.5
1983-01-29,514.0,515.0,513.0,514.0,237000,489.5
1983-01-31,514.0,519.0,513.0,513.0,167000,488.6
1983-02-01,513.0,517.0,513.0,514.0,234000,489.5
1983-02-02,513.0,514.0,508.0,514.0,1111000,489.5
1983-02-03,510.0,513.0,510.0,510.0,241000,485.7
1983-02-04,520.0,525.0,510.0,511.0,104000,486.7
1983-02-05,514.0,540.0,514.0,540.0,323000,514.3
1983-02-07,535.0,538.0,525.0,525.0,137000,500.0
1983-02-08,535.0,535.0,515.0,515.0,95000,490.5
1983-02-09,516.0,530.0,516.0,530.0,112000,504.8
1983-02-10,529.0,535.0,517.0,535.0,92000,509.5
1983-02-12,530.0,530.0,525.0,526.0,60000,501.0
1983-02-14,527.0,540.0,527.0,527.0,77000,501.9
1983-02-15,529.0,529.0,521.0,521.0,96000,496.2
1983-02-16,521.0,527.0,517.0,518.0,76000,493.3
1983-02-17,520.0,520.0,515.0,515.0,139000,490.5
1983-02-18,510.0,510.0,500.0,500.0,181000,476.2
