number,value,datetime_start,datetime_complete,duration,params_D,params_P,params_Q,params_d,params_enforce_invertibility,params_enforce_stationarity,params_p,params_q,params_s,params_trend,system_attrs_fail_reason,state
22,12.0,2020-05-30 14:17:38.887774,2020-05-30 14:17:39.901770,0 days 00:00:01.013996000,2,0,2,2,False,False,2,1,30,,,COMPLETE
26,14.0,2020-05-30 14:17:43.189772,2020-05-30 14:17:44.352771,0 days 00:00:01.162999000,2,1,2,2,False,False,2,1,30,,,COMPLETE
29,87.74800135907282,2020-05-30 14:17:55.420771,2020-05-30 14:18:02.959771,0 days 00:00:07.539000000,2,0,2,3,False,False,3,1,27,,,COMPLETE
27,95.06689980763942,2020-05-30 14:17:44.353771,2020-05-30 14:17:50.295771,0 days 00:00:05.942000000,2,0,2,2,False,False,2,1,27,,,COMPLETE
28,95.06689980763942,2020-05-30 14:17:50.297771,2020-05-30 14:17:55.418770,0 days 00:00:05.120999000,2,0,2,2,False,False,2,1,27,,,COMPLETE
15,220.8355904775401,2020-05-30 14:17:08.870772,2020-05-30 14:17:22.909773,0 days 00:00:14.039001000,2,1,1,2,False,False,2,4,30,,,COMPLETE
11,221.8984048431176,2020-05-30 14:16:49.237772,2020-05-30 14:17:00.321773,0 days 00:00:11.084001000,2,1,1,1,False,False,1,4,30,,,COMPLETE
10,221.8984048431176,2020-05-30 14:16:39.827771,2020-05-30 14:16:49.235770,0 days 00:00:09.407999000,2,1,1,1,False,False,1,4,30,,,COMPLETE
25,334.8103637118885,2020-05-30 14:17:40.039774,2020-05-30 14:17:43.188771,0 days 00:00:03.148997000,2,0,2,3,False,False,2,0,22,n,,COMPLETE
12,346.5409928691353,2020-05-30 14:17:00.323773,2020-05-30 14:17:04.166771,0 days 00:00:03.842998000,2,1,1,1,False,False,1,4,24,,,COMPLETE
4,348.8205812711303,2020-05-30 14:16:20.562067,2020-05-30 14:16:29.121065,0 days 00:00:08.558998000,2,1,1,0,False,False,1,4,28,ct,,COMPLETE
14,360.68786817391293,2020-05-30 14:17:05.059774,2020-05-30 14:17:08.867772,0 days 00:00:03.807998000,2,1,1,1,False,False,1,3,24,,,COMPLETE
1,386.2407885486032,2020-05-30 14:16:07.518282,2020-05-30 14:16:15.137281,0 days 00:00:07.618999000,2,1,2,0,False,False,2,3,18,c,,COMPLETE
17,397.0979958532696,2020-05-30 14:17:24.819771,2020-05-30 14:17:34.342771,0 days 00:00:09.523000000,2,1,1,3,False,False,2,3,26,,,COMPLETE
7,559.7332472203017,2020-05-30 14:16:33.759066,2020-05-30 14:16:37.668065,0 days 00:00:03.908999000,2,1,0,4,False,False,2,3,18,n,,COMPLETE
3,576.1240984728954,2020-05-30 14:16:15.575065,2020-05-30 14:16:20.561067,0 days 00:00:04.986002000,0,2,0,0,False,False,3,3,29,,,COMPLETE
6,647.4693865547455,2020-05-30 14:16:29.575067,2020-05-30 14:16:33.758065,0 days 00:00:04.182998000,1,0,2,1,False,False,3,2,17,ct,,COMPLETE
18,722.8191061679014,2020-05-30 14:17:34.343771,2020-05-30 14:17:38.692772,0 days 00:00:04.349001000,1,1,1,2,False,False,4,4,20,,,COMPLETE
